"respondente_id","idade","faixa_idade","genero","cor_raca_etnia","pcd","uf_atual","regiao_atual","nivel_ensino","setor_atual","num_funcionarios","atua_como_gestor","cargo_atual","senioridade","faixa_salarial","faixa_salarial_valida","modalidade_atual","servico_cloud_preferido","ai_prioridade","ano_pesquisa"
"4q7cfa9cy21y435cv4q7cf4ri0pyznmq","25","25-29","Masculino","Branca","Não","MG","Sudeste","Estudante de Graduação","Finanças ou Bancos","Acima de 3.000","0","Analytics Engineer","Pleno","de R$ 12.001/mês a R$ 16.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial","Google Cloud (GCP)",,"2025"
"07cl0a540xpp72jght07cl0uzl4b3uhg","31","30-34","Masculino","Branca","Não","SP","Sudeste","Pós-graduação","Setor Farmaceutico","de 501 a 1.000","0","Cientista de Dados/Data Scientist","Pleno","de R$ 20.001/mês a R$ 25.000/mês","true","Modelo 100% remoto","Google Cloud (GCP)",,"2025"
"zv9mtwozapbsplt8auzv9mtk8prcqjvm","36","35-39","Masculino","Branca","Não","SP","Sudeste","Pós-graduação","Varejo","de 1.001 a 3.000","0","Analista de BI/BI Analyst","Pleno","de R$ 6.001/mês a R$ 8.000/mês","true","Modelo 100% presencial","Amazon Web Services (AWS)",,"2023"
"sk8hhr7hsmlssdatm48egosk8hl8rcwd","27","25-29","Feminino","Preta","Não","SP","Sudeste","Graduação/Bacharelado","Finanças ou Bancos","Acima de 3.000","0","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Sênior","de R$ 12.001/mês a R$ 16.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial","Amazon Web Services (AWS)",,"2023"
"n3brughsckfvk6u40xn3brmzxqni3a9u","26","25-29","Masculino","Parda","Não","BA","Nordeste","Graduação/Bacharelado","Finanças ou Bancos","de 501 a 1.000","0","Analista de Dados/Data Analyst","Júnior","de R$ 4.001/mês a R$ 6.000/mês","true","Modelo 100% remoto","Amazon Web Services (AWS)",,"2023"
"bscq665kyme4joxcosbscq68bw2fz2go","31","30-34","Masculino","Branca","Não","SP","Sudeste","Pós-graduação","Área da Saúde","de 51 a 100","1",,,"de R$ 12.001/mês a R$ 16.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial",,"Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","2023"
"vbuw068lykj2evbuw0eod155uorhsx0e","36","35-39","Masculino","Branca","Não","PR","Sul","Doutorado ou Phd","Tecnologia/Fábrica de Software","de 11 a 50","0","Analista de Dados/Data Analyst","Júnior","de R$ 3.001/mês a R$ 4.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial","Azure (Microsoft)",,"2023"
"qvoefn9skh6hbuw6szqvoe5z58z7zl8m","29","25-29","Masculino","Preta","Não","SP","Sudeste","Graduação/Bacharelado","Tecnologia/Fábrica de Software","de 1.001 a 3.000","0","Cientista de Dados/Data Scientist","Pleno","de R$ 8.001/mês a R$ 12.000/mês","true","Modelo 100% remoto","Google Cloud (GCP)",,"2023"
"831oyv7ia6viiyu831oyoc0sd08ncaq3","46","45-49","Feminino","Branca","Não","MG","Sudeste","Mestrado",,,,,,,,,,,"2023"
"d1yl754zos21xpxlcyd1yl7cqqi8znan","27","25-29","Feminino","Branca","Não","SP","Sudeste","Graduação/Bacharelado","Tecnologia/Fábrica de Software","de 101 a 500","0","Cientista de Dados/Data Scientist","Sênior","de R$ 8.001/mês a R$ 12.000/mês","true","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","Amazon Web Services (AWS)",,"2023"
