"respondente_id","categoria","item","ano_pesquisa"
"1jy36lr1prftdq0l8ifh1jy36j18th0b","criterio_escolha","Aprendizado/referências na área","2023"
"w4vxtfazp9rb6ngyh4pacw4vxtgtetyp","criterio_escolha","Remuneração/Salário","2023"
"w4vxtfazp9rb6ngyh4pacw4vxtgtetyp","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"w4vxtfazp9rb6ngyh4pacw4vxtgtetyp","criterio_escolha","Aprendizado/referências na área","2023"
"i0robihnnc1dvflpx7wsi0robihnl5q3","criterio_escolha","Remuneração/Salário","2023"
"i0robihnnc1dvflpx7wsi0robihnl5q3","criterio_escolha","Ambiente e clima de trabalho","2023"
"i0robihnnc1dvflpx7wsi0robihnl5q3","criterio_escolha","Plano de carreira","2023"
"f7la3l7eq4vto7wxf7la3lk5mg9zlkjs","criterio_escolha","Remuneração/Salário","2023"
"f7la3l7eq4vto7wxf7la3lk5mg9zlkjs","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"f7la3l7eq4vto7wxf7la3lk5mg9zlkjs","criterio_escolha","Plano de carreira","2023"
"wcptdidkxp0ic53lya1wcptdam6u2dep","criterio_escolha","Remuneração/Salário","2023"
"wcptdidkxp0ic53lya1wcptdam6u2dep","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"wcptdidkxp0ic53lya1wcptdam6u2dep","criterio_escolha","Maturidade em tecnologia/dados","2023"
"p6vp72se2lmxlk94312dhp6vp721fx7k","criterio_escolha","Remuneração/Salário","2023"
"p6vp72se2lmxlk94312dhp6vp721fx7k","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"p6vp72se2lmxlk94312dhp6vp721fx7k","criterio_escolha","Plano de carreira","2023"
"93goadvqjsth8kttl93goadvockg4qz7","criterio_escolha","Remuneração/Salário","2023"
"93goadvqjsth8kttl93goadvockg4qz7","criterio_escolha","Ambiente e clima de trabalho","2023"
"93goadvqjsth8kttl93goadvockg4qz7","criterio_escolha","Plano de carreira","2023"
"fl4fdeye21o2ygt0xqklvfl4fdeq3232","criterio_escolha","Remuneração/Salário","2023"
"fl4fdeye21o2ygt0xqklvfl4fdeq3232","criterio_escolha","Plano de carreira","2023"
"fl4fdeye21o2ygt0xqklvfl4fdeq3232","criterio_escolha","Qualidade dos gestores/líderes","2023"
"2hyq6ticv3pgnvp5rxh2hyqig5ogr2u0","criterio_escolha","Propósito do trabalho/empresa","2023"
"2hyq6ticv3pgnvp5rxh2hyqig5ogr2u0","criterio_escolha","Ambiente e clima de trabalho","2023"
"2hyq6ticv3pgnvp5rxh2hyqig5ogr2u0","criterio_escolha","Plano de carreira","2023"
"xhzv4k55hvgwaw5rmuxhzv4kmz8w0407","criterio_escolha","Remuneração/Salário","2023"
"xhzv4k55hvgwaw5rmuxhzv4kmz8w0407","criterio_escolha","Propósito do trabalho/empresa","2023"
"xhzv4k55hvgwaw5rmuxhzv4kmz8w0407","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"f5dpezxp62mu0edjjtzf5dpezzlss9o6","criterio_escolha","Remuneração/Salário","2023"
"f5dpezxp62mu0edjjtzf5dpezzlss9o6","criterio_escolha","Ambiente e clima de trabalho","2023"
"f5dpezxp62mu0edjjtzf5dpezzlss9o6","criterio_escolha","Aprendizado/referências na área","2023"
"ic4igr0es36nl9so77kic4igmze16l51","criterio_escolha","Plano de carreira","2023"
"ic4igr0es36nl9so77kic4igmze16l51","criterio_escolha","Maturidade em tecnologia/dados","2023"
"ic4igr0es36nl9so77kic4igmze16l51","criterio_escolha","Qualidade dos gestores/líderes","2023"
"07ei3nr4jibmbslmgzup07ei3n8u13ka","criterio_escolha","Remuneração/Salário","2023"
"07ei3nr4jibmbslmgzup07ei3n8u13ka","criterio_escolha","Benefícios","2023"
"07ei3nr4jibmbslmgzup07ei3n8u13ka","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"4kdhxxd3z6ppy7gpxnwu4kdhxscn5ggu","criterio_escolha","Remuneração/Salário","2023"
"4kdhxxd3z6ppy7gpxnwu4kdhxscn5ggu","criterio_escolha","Benefícios","2023"
"4kdhxxd3z6ppy7gpxnwu4kdhxscn5ggu","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"pagoro7lbrqqsicsob7pago2s1x9tpy3","criterio_escolha","Remuneração/Salário","2023"
"pagoro7lbrqqsicsob7pago2s1x9tpy3","criterio_escolha","Ambiente e clima de trabalho","2023"
"pagoro7lbrqqsicsob7pago2s1x9tpy3","criterio_escolha","Plano de carreira","2023"
"r9p4f3yo7djix18l36t4r9dqw9c1c9m0","criterio_escolha","Remuneração/Salário","2023"
"r9p4f3yo7djix18l36t4r9dqw9c1c9m0","criterio_escolha","Aprendizado/referências na área","2023"
"r9p4f3yo7djix18l36t4r9dqw9c1c9m0","criterio_escolha","Plano de carreira","2023"
"jb8w9645q5bu75strjb8w96462vx1oc7","criterio_escolha","Remuneração/Salário","2023"
"jb8w9645q5bu75strjb8w96462vx1oc7","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"jb8w9645q5bu75strjb8w96462vx1oc7","criterio_escolha","Plano de carreira","2023"
"p8fy69v8wffap3wxzop8fy69nrggfkzx","criterio_escolha","Propósito do trabalho/empresa","2023"
"cifoav0rkicibc19dxcifjrmkueed594","criterio_escolha","Propósito do trabalho/empresa","2023"
"u4cugr7jzg2pvz0jfu4cuek9pl9z233l","criterio_escolha","Remuneração/Salário","2023"
"u4cugr7jzg2pvz0jfu4cuek9pl9z233l","criterio_escolha","Propósito do trabalho/empresa","2023"
"u4cugr7jzg2pvz0jfu4cuek9pl9z233l","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"xodt1uyb9qxhf9pihcxodt1df1pamafm","criterio_escolha","Ambiente e clima de trabalho","2023"
"xodt1uyb9qxhf9pihcxodt1df1pamafm","criterio_escolha","Maturidade em tecnologia/dados","2023"
"xodt1uyb9qxhf9pihcxodt1df1pamafm","criterio_escolha","Reputação no mercado","2023"
"33yadvltac5mgunhnedd33yadxwvxq6e","criterio_escolha","Remuneração/Salário","2023"
"33yadvltac5mgunhnedd33yadxwvxq6e","criterio_escolha","Ambiente e clima de trabalho","2023"
"33yadvltac5mgunhnedd33yadxwvxq6e","criterio_escolha","Plano de carreira","2023"
"ysx1i8kajd1v25ysx10uavgnnhkj52nf","criterio_escolha","Remuneração/Salário","2023"
"ysx1i8kajd1v25ysx10uavgnnhkj52nf","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"ysx1i8kajd1v25ysx10uavgnnhkj52nf","criterio_escolha","Plano de carreira","2023"
"7jcegbbxpo7bof0h0qicodw947jcegbb","criterio_escolha","Remuneração/Salário","2023"
"7jcegbbxpo7bof0h0qicodw947jcegbb","criterio_escolha","Ambiente e clima de trabalho","2023"
